dataset_key,dataset_label,sigma,trial,init_seed,auc,alm_iter,alm_time,converged
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,0,1000,0.48897777777777773,2,0.5337820053100586,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,1,1001,0.496,2,0.3672339916229248,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,2,1002,0.5101333333333333,2,0.17542219161987305,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,3,1003,0.5768,2,0.2555263042449951,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,4,1004,0.5150666666666667,2,0.19589614868164062,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,5,1005,0.47324444444444447,2,0.2654550075531006,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,6,1006,0.4987555555555555,2,0.1851329803466797,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,7,1007,0.5012888888888889,2,0.2678711414337158,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,8,1008,0.4335555555555555,2,0.20957303047180176,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,9,1009,0.5805333333333333,2,0.2561619281768799,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,10,1010,0.4822222222222222,2,0.19485187530517578,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,11,1011,0.522888888888889,2,0.18068408966064453,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,12,1012,0.44128888888888895,2,0.19796204566955566,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,13,1013,0.42728888888888883,2,0.1747140884399414,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,14,1014,0.5204444444444445,2,0.19495725631713867,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,15,1015,0.47715555555555556,2,0.25724196434020996,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,16,1016,0.49839999999999995,2,0.19542980194091797,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,17,1017,0.4640888888888889,2,0.19354891777038574,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,18,1018,0.5061777777777778,2,0.23221516609191895,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,19,1019,0.4845777777777779,2,0.2592182159423828,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,0,1000,0.8035714285714286,26,0.39905214309692383,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,1,1001,0.30357142857142855,22,0.43062281608581543,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,2,1002,0.5892857142857142,18,0.3774399757385254,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,3,1003,0.4107142857142857,17,0.3142871856689453,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,4,1004,0.26785714285714285,11,0.18558192253112793,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,5,1005,0.4642857142857143,11,0.1895749568939209,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,6,1006,0.44642857142857145,13,0.2631528377532959,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,7,1007,0.5,14,0.2557649612426758,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,8,1008,0.5357142857142857,24,0.43257713317871094,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,9,1009,0.6964285714285714,26,0.43753981590270996,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,10,1010,0.5,13,0.24963617324829102,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,11,1011,0.7321428571428571,24,0.42966198921203613,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,12,1012,0.42857142857142855,12,0.1904430389404297,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,13,1013,0.26785714285714285,7,0.07451891899108887,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,14,1014,0.6071428571428571,13,0.2585620880126953,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,15,1015,0.4107142857142857,18,0.3649001121520996,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,16,1016,0.5892857142857143,22,0.3771059513092041,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,17,1017,0.5714285714285714,7,0.03258872032165527,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,18,1018,0.5714285714285714,2,0.0018148422241210938,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,19,1019,0.75,7,0.06998205184936523,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,0,1000,0.4008,2,0.21881103515625,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,1,1001,0.49693333333333334,2,0.20278501510620117,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,2,1002,0.6636888888888889,2,0.19434762001037598,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,3,1003,0.7030666666666667,2,0.22741913795471191,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,4,1004,0.454,2,0.19026708602905273,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,5,1005,0.4177777777777777,2,0.2576720714569092,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,6,1006,0.6488444444444444,2,0.17476511001586914,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,7,1007,0.4045777777777777,2,0.2045137882232666,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,8,1008,0.1302222222222222,2,0.17975282669067383,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,9,1009,0.8877333333333334,2,0.17418408393859863,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,10,1010,0.46973333333333334,2,0.175307035446167,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,11,1011,0.43315555555555557,2,0.2607278823852539,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,12,1012,0.3392,2,0.19749879837036133,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,13,1013,0.31982222222222223,2,0.1980578899383545,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,14,1014,0.5416888888888889,2,0.26019716262817383,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,15,1015,0.24493333333333334,2,0.20465779304504395,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,16,1016,0.3157333333333333,2,0.18967866897583008,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,17,1017,0.35506666666666664,2,0.19475102424621582,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,18,1018,0.5761333333333334,2,0.1743178367614746,1
PI4_highsep_mggn,PI4 high-sep m>>n,1.0,19,1019,0.5162666666666667,2,0.17727398872375488,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,0,1000,0.6785714285714286,13,0.25542402267456055,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,1,1001,0.9821428571428571,17,0.3123812675476074,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,2,1002,0.875,15,0.3136019706726074,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,3,1003,0.875,15,0.3051772117614746,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,4,1004,0.9642857142857143,17,0.3706529140472412,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,5,1005,0.6964285714285714,16,0.3212857246398926,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,6,1006,0.2857142857142857,7,0.05077695846557617,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,7,1007,0.8392857142857142,14,0.24695086479187012,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,8,1008,0.7321428571428571,12,0.2029430866241455,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,9,1009,0.9107142857142857,15,0.3084087371826172,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,10,1010,0.7142857142857143,14,0.25833606719970703,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,11,1011,0.7857142857142857,13,0.2512331008911133,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,12,1012,1.0,19,0.4314241409301758,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,13,1013,0.7321428571428571,13,0.260638952255249,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,14,1014,0.875,14,0.2525050640106201,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,15,1015,0.8928571428571428,19,0.3173031806945801,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,16,1016,0.875,14,0.25737500190734863,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,17,1017,0.8214285714285714,15,0.30361390113830566,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,18,1018,0.6607142857142857,7,0.05180811882019043,1
PI6_highsep_mlln,PI6 high-sep m<<n,1.0,19,1019,0.9821428571428571,15,0.3121349811553955,1
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),1.0,0,1000,0.3584104938271605,2,0.05592513084411621,1
