iteration,residual_inf,obj_value,ssn_iters,sigma_t
1,0.2906032867440859,0.18979427465735627,10,0.1
2,0.03861947276644977,0.20600028195836512,10,0.2
3,0.03152231105535291,0.22549052748913104,10,0.4
4,0.019502972679775663,0.25163398692813677,18,0.8
5,0.009651064989610209,0.25490196078433164,16,1.6
6,0.012999956989638259,0.2581699346405258,12,3.2
7,0.003853870732512672,0.2607399346114775,25,6.4
8,0.00702928680664728,0.2581699346405296,9,12.8
9,0.0041072149256455885,0.26143790849673204,1,25.6
10,5.591408975972113e-05,0.26143790849673204,1,51.2
